author	year	category	condemned	eligible
Pope Anterus	236	Early Fathers (Pre-Nicaea)		yes
Pope Dionysius	268	Early Fathers (Pre-Nicaea)		yes
Pope Pontian	235	Early Fathers (Pre-Nicaea)		yes
Pope Urban I	230	Early Fathers (Pre-Nicaea)		yes
Pope Zephyrinus	217	Early Fathers (Pre-Nicaea)		yes
Possidius	437	Western & Medieval Theology		yes
Potamius of Lisbon	360	Western & Medieval Theology		yes
Primasius of Hadrumetum	560	Western & Medieval Theology		yes
Proclus of Constantinople	446	Eastern & Byzantine Theology		yes
Procopius of Gaza	528	Eastern & Byzantine Theology		yes
Prosper of Aquitaine	455	Western & Medieval Theology		yes
Protoevangelium of James	150	Apocrypha, Pseudepigrapha & Early Documents		yes
Prudentius	410	Western & Medieval Theology		yes
Pseudo-Ambrose	384	Pseudonymous Works		yes
Pseudo-Athanasius	9999	Pseudonymous Works		no
Pseudo-Augustine	9999	Pseudonymous Works		no
Pseudo-Barnabas	132	Pseudonymous Works		yes
Pseudo-Basil	9999	Pseudonymous Works		no
Pseudo-Chrysostom	500	Pseudonymous Works		yes
Pseudo-Clement	400	Pseudonymous Works		yes
Pseudo-Cyprian	300	Pseudonymous Works		yes
Pseudo-Cyril	9999	Pseudonymous Works		no
Pseudo-Dionysius the Areopagite	532	Pseudonymous Works		yes
Pseudo-Ephrem	800	Pseudonymous Works		yes
Pseudo-Hegesippus	400	Pseudonymous Works		yes
Pseudo-Hippolytus	9999	Pseudonymous Works		no
Pseudo-Ignatius	400	Pseudonymous Works		yes
Pseudo-Jerome	9999	Pseudonymous Works		no
Pseudo-Justin	9999	Pseudonymous Works		no
Pseudo-Macarius	534	Pseudonymous Works		yes
Pseudo-Origen	9999	Pseudonymous Works		no
Pseudo-Tertullian	9999	Pseudonymous Works		no
Quodvultdeus	450	Western & Medieval Theology		yes
Rabanus Maurus	856	Western & Medieval Theology		no
Remigius of Rheims	533	Western & Medieval Theology		yes
Revelation	96	Canonical Scriptures		no
Richard of Saint Victor	1173	Western & Medieval Theology		no
Robert of Tombelaine	1078	Western & Medieval Theology		no
Romanos the Melodist	555	Eastern & Byzantine Theology		yes
Romans	56	Canonical Scriptures		no
Sahdona the Syrian	649	Syriac & Oriental Theology		yes
Salvian the Presbyter	500	Western & Medieval Theology		yes
Second Council of Constantinople	553	Councils & Canons		yes
Severian of Gabala	425	Eastern & Byzantine Theology		yes
Severus of Antioch	538	Syriac & Oriental Theology		yes
Shenoute the Archimandrite	465	Syriac & Oriental Theology		yes
Shepherd of Hermas	160	Apocrypha, Pseudepigrapha & Early Documents		yes
Sibylline Oracles	700	Apocrypha, Pseudepigrapha & Early Documents		yes
Socrates Scholasticus	439	Eastern & Byzantine Theology		yes
Sophronius of Jerusalem	638	Eastern & Byzantine Theology		yes
Sulpicius Severus	425	Western & Medieval Theology		yes
Symeon the New Theologian	1022	Eastern & Byzantine Theology		no
Syncletica of Alexandria	350	Eastern & Byzantine Theology		yes
Tatian the Assyrian	180	Syriac & Oriental Theology	yes	no
Tertullian	220	Early Fathers (Pre-Nicaea)		yes
Testaments of the Twelve Patriarchs	192	Apocrypha, Pseudepigrapha & Early Documents		yes
The Liturgy Of The Blessed Apostles	200	Liturgies & Hymns		yes
The Passing of Mary	300	Apocrypha, Pseudepigrapha & Early Documents		yes
The Passion of Saints Perpetua and Felicity	203	Western & Medieval Theology		yes
Theodore of Heraclea	355	Eastern & Byzantine Theology		yes
Theodore of Mopsuestia	428	Eastern & Byzantine Theology		yes
Theodoret of Cyrus	458	Eastern & Byzantine Theology		yes
Theodorus of Tabennese	368	Syriac & Oriental Theology		yes
Theodotus of Ancyra	446	Eastern & Byzantine Theology		yes
Theognostus Of Alexandria	270	Early Fathers (Pre-Nicaea)		yes
Theonas of Alexandria	300	Early Fathers (Pre-Nicaea)		yes
Theophanes of Nicaea	845	Eastern & Byzantine Theology		no
